type,familySlug,status,detail,url
manifest,tata-nexon-ev,complete,,
manifest,tata-punch-ev,complete,,
manifest,tata-curvv-ev,complete,,
manifest,tata-tiago-ev,complete,,
manifest,mg-comet-ev,complete,,
manifest,mg-zs-ev,complete,,
manifest,mahindra-be-6,complete,,
manifest,mahindra-xev-9e,complete,,
manifest,mahindra-xuv400,complete,,
manifest,byd-atto-3,complete,,
manifest,hyundai-kona-electric,complete,,
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/og"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-nexon-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/og"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-punch-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/og"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-curvv-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/tata-tiago-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/og"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-comet-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/og"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/exterior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/exterior-2"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/exterior-3"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/interior-1"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mg-zs-ev/charging-port"
broken,,404,unreachable,"https://res.cloudinary.com/dznvmumze/image/upload/f_auto,q_auto,c_limit/evsavari/catalog/families/mahindra-be-6/og"
